Iteration,Time,Webgen Time,Steps,Strands
0,0,0,5,10
1,0,0,5,10
2,0,0,5,10
3,0,0,5,10
4,0,0,5,10
5,0,0,5,10
6,0,0,5,10
7,0,0,5,10
8,0,0,5,10
9,0,0,5,10
10,0,0,5,10
11,0,0,5,10
12,0,0,5,10
13,0,0,5,10
14,0,0,5,10
15,0,0,5,10
16,0,0,5,10
17,0,0,5,10
18,0,0,5,10
19,0,0,5,10
20,0,0,5,10
21,0,0,5,10
22,0,0,5,10
23,0,0,5,10
24,0,0,5,10
25,0,0,5,10
26,0,0,5,10
27,0,0,5,10
28,0,0,5,10
29,0,0,5,10
30,0,0,5,10
31,0,0,5,10
32,0,0,5,10
33,0,0,5,10
34,0,0,5,10
35,0,0,5,10
36,0,0,5,10
37,0,0,5,10
38,0,0,5,10
39,0,0,5,10
40,0,0,5,10
41,0,0,5,10
42,0,0,5,10
43,0,0,5,10
44,0,0,5,10
45,0,0,5,10
46,0,0,5,10
47,0,0,5,10
48,0,0,5,10
49,0,0,5,10
50,0,0,5,10
51,0,0,5,10
52,0,0,5,10
53,0,0,5,10
54,0,0,5,10
55,0,0,5,10
56,0,0,5,10
57,0,0,5,10
58,0,0,5,10
59,0,0,5,10
60,0,0,5,10
61,0,0,5,10
62,0,0,5,10
63,0,0,5,10
64,0,0,5,10
65,0,0,5,10
66,0,0,5,10
67,0,0,5,10
68,0,0,5,10
69,0,0,5,10
70,0,0,5,10
71,0,0,5,10
72,0,0,5,10
73,0,0,5,10
74,0,0,5,10
75,0,0,5,10
76,0,0,5,10
77,0,0,5,10
78,0,0,5,10
79,0,0,5,10
80,0,0,5,10
81,0,0,5,10
82,0,0,5,10
83,0,0,5,10
84,0,0,5,10
85,0,0,5,10
86,0,0,5,10
87,0,0,5,10
88,0,0,5,10
89,0,0,5,10
90,0,0,5,10
91,0,0,5,10
92,0,0,5,10
93,0,0,5,10
94,0,0,5,10
95,0,0,5,10
96,0,0,5,10
97,0,0,5,10
98,0,0,5,10
99,0,0,5,10
